fonte,cidade,latitude,longitude,periodo_atual,data_meio,modis_data,modis_dt_dias,ndvi_atual_aa,ndvi_atual_modis,diff_ndvi_aa_minus_modis,ndvi_delta_aa,queda_aa,nivel_aa
ocorrencias,Porto Alegre,-30.033,-51.23,29/06/2025 – 29/07/2025,2025-07-14,2025-07-12,-2,0.53,0.114,0.416,0.154,1,Anomalia de vegetação detectada (Δ=0.154). NDVI at
ocorrencias,Porto Alegre,-30.033,-51.23,26/12/2025 – 25/01/2026,2026-01-10,2026-01-17,7,0.597,0.2408,0.3562,0.191,1,Anomalia de vegetação detectada (Δ=0.191). NDVI at
ocorrencias,Salvador,-12.971,-38.511,31/03/2025 – 30/04/2025,2025-04-15,2025-05-09,24,0.048,0.3296,-0.2816,0.108,1,Anomalia de vegetação detectada (Δ=0.108). NDVI at
ocorrencias,São Paulo,-23.55,-46.633,31/03/2025 – 30/04/2025,2025-04-15,2025-04-07,-8,0.33,0.2306,0.0994,0.102,1,Anomalia de vegetação detectada (Δ=0.102). NDVI at
ocorrencias,Altamira-PA,-7.53,-55.03,31/08/2024 – 30/09/2024,2024-09-15,2024-09-13,-2,0.114,0.2644,-0.1504,0.533,1,Queda brusca de NDVI detectada (Δ=0.533). NDVI atu
ndvi_historico,São Luís,-2.529,-44.303,27/09/2025 – 27/10/2025,2025-10-12,2025-09-14,-28,0.207,0.1762,0.0308,0.095,0,normal
ndvi_historico,Porto Alegre,-30.033,-51.23,04/07/2024 – 03/08/2024,2024-07-19,2024-07-11,-8,0.6,0.134,0.466,0.022,0,normal
ndvi_historico,Porto Alegre,-30.033,-51.23,02/10/2024 – 01/11/2024,2024-10-17,2024-10-15,-2,0.64,0.27,0.37,0.037,0,normal
ndvi_historico,Porto Alegre,-30.033,-51.23,31/12/2024 – 30/01/2025,2025-01-15,2025-01-01,-14,0.789,0.1313,0.6577,0.0,0,normal
ndvi_historico,Porto Alegre,-30.033,-51.23,31/03/2025 – 30/04/2025,2025-04-15,2025-04-07,-8,0.794,0.1717,0.6223,0.0,0,normal
ndvi_historico,Porto Alegre,-30.033,-51.23,29/06/2025 – 29/07/2025,2025-07-14,2025-07-12,-2,0.53,0.114,0.416,0.154,1,medio
ndvi_historico,Porto Alegre,-30.033,-51.23,27/09/2025 – 27/10/2025,2025-10-12,2025-10-16,4,0.605,0.1515,0.4535,0.0,0,normal
ndvi_historico,Porto Alegre,-30.033,-51.23,26/12/2025 – 25/01/2026,2026-01-10,2026-01-17,7,0.597,0.2408,0.3562,0.191,1,medio
ndvi_historico,Porto Alegre,-30.033,-51.23,26/03/2026 – 25/04/2026,2026-04-10,2026-03-22,-19,0.663,0.2276,0.4354,0.095,0,normal
ndvi_historico,Curitiba,-25.429,-49.271,04/07/2024 – 03/08/2024,2024-07-19,2024-07-11,-8,0.063,0.1726,-0.1096,0.015,0,normal
ndvi_historico,Curitiba,-25.429,-49.271,31/12/2024 – 30/01/2025,2025-01-15,2025-01-01,-14,0.063,0.1678,-0.1048,0.057,0,normal
